年月日,全天日射量,R_GRD
2008-05-31,507.37,1072.495555514422
2008-06-30,462.41,1081.5062315403766
2008-07-31,539.94,1200.3923664372235
2008-08-31,475.15,1205.4571358530352
2008-09-30,391.98,1118.4533981455804
2008-10-31,336.8,1073.7178929661347
2008-11-30,255.48,950.1865054559646
2008-12-31,259.58,933.4604384688727
2009-01-31,264.07,896.087982487782
2009-02-28,299.49,824.6527918922881
2009-03-31,432.96,948.9521974159463
2009-04-30,572.97,995.820859413149
2009-05-31,528.26,1097.255604407589
2009-06-30,443.07,1095.4118727314838
2009-07-31,472.3,1195.1933967027308
2009-08-31,501.26,1192.5262663552394
2009-09-30,424.92,1098.9869500006605
2009-10-31,344.32,1070.6867811794366
2009-11-30,239.23,958.6800565646407
2009-12-31,261.07,922.8117284924208
2010-01-31,325.7,892.8887547509073
2010-02-28,262.32,813.0857363122311
2010-03-31,375.51,940.874694540517
2010-04-30,429.99,955.8844055860064
2010-05-31,572.73,1081.0499829878208
2010-06-30,553.04,1113.6966176394574
2010-07-31,572.55,1224.9006948821539
2010-08-31,608.59,1253.6123838297503
2010-09-30,417.86,1084.7311669325547
2010-10-31,303.02,1078.8642093340795
2010-11-30,272.6,952.4746371400581
2010-12-31,273.85,934.6911219800007
2011-01-31,363.31,873.0835111769702
2011-02-28,317.32,820.7030222049967
2011-03-31,510.63,921.4887246123343
2011-04-30,555.29,978.5636861734564
2011-05-31,470.53000000000003,1051.5169285538616
2011-06-30,458.78,1107.924807690946
2011-07-31,557.2,1215.1963119276834
2011-08-31,515.47,1218.752876296376
2011-09-30,454.76,1140.5482170808589
2011-10-31,336.74,1075.317209720227
2011-11-30,264.91,967.4761458977781
2011-12-31,252.44,901.8765431112919
2012-01-31,300.3,867.8525454280827
2012-02-29,303.32,808.557617432294
2012-03-31,398.4,936.0880080421972
2012-04-30,486.76,978.6632079592654
2012-05-31,568.45,1087.5729574076747
2012-06-30,541.93,1078.7258757127483
2012-07-31,569.18,1201.2945323230113
2012-08-31,626.98,1238.7408430552546
2012-09-30,426.48,1149.8405605558103
2012-10-31,360.68,1076.2837882781873
2012-11-30,262.18,939.1035025387908
2012-12-31,241.28,897.2592273801979
2013-01-31,308.33,876.4744670538742
2013-02-28,329.57,804.9727162152018
2013-03-31,437.98,978.0169098447807
2013-04-30,521.22,983.5399116979767
2013-05-31,659.85,1082.479015791981
2013-06-30,490.5,1099.8360829144706
2013-07-31,555.11,1200.2599043946127
2013-08-31,572.55,1237.0354789378869
2013-09-30,447.53000000000003,1130.4055854401086
2013-10-31,295.13,1090.1723877479699
2013-11-30,287.03,943.8768390196157
2013-12-31,263.2,907.5335246294604
2014-01-31,315.66,881.6469615101289
2014-02-28,314.38,804.9203279381488
2014-03-31,461.36,951.7370918983471
2014-04-30,559.75,983.9144793919971
2014-05-31,632.48,1096.1416481640804
2014-06-30,491.95,1112.5995906604571
2014-07-31,578.75,1201.0905342523793
2014-08-31,492.69,1214.6907228834075
2014-09-30,424.42,1099.1177207806168
2014-10-31,323.96,1070.8416460584788
2014-11-30,237.66,963.4730388002815
2014-12-31,260.38,899.0613517302048
2015-01-31,292.33,895.4871449216857
2015-02-28,307.54,808.9481457488658
2015-03-31,458.24,960.2069168517585
2015-04-30,445.25,989.2477661800614
2015-05-31,654.85,1112.955521523681
2015-06-30,493.63,1101.9573277136867
2015-07-31,530.91,1207.3529060889628
2015-08-31,465.74,1211.7656520402877
2015-09-30,347.3,1109.2110517401554
2015-10-31,387.37,1072.8333919409001
2015-11-30,228.16,979.4652649748214
2015-12-31,256.56,939.4050331379145
2016-01-31,301.84,895.9045046329281
2016-02-29,343.48,854.617633723978
2016-03-31,435.55,958.073590047917
2016-04-30,473.0,1000.2805732545371
2016-05-31,607.45,1103.5358102249393
2016-06-30,489.63,1108.1006297176718
2016-07-31,512.27,1190.683151744272
2016-08-31,530.33,1221.3436146419324
2016-09-30,335.64,1138.7825968112688
2016-10-31,310.96,1076.5234271332504
2016-11-30,252.23,941.8252321628706
2016-12-31,283.4,929.4869973789848
2017-01-31,334.18,888.0888293905579
2017-02-28,373.71,822.3121525721127
2017-03-31,462.39,933.7972786032232
2017-04-30,536.45,990.1253263581258
2017-05-31,580.56,1103.3187845851162
2017-06-30,566.41,1098.6518425436298
2017-07-31,584.81,1224.3409191915835
2017-08-31,413.63,1203.974407770884
2017-09-30,407.15,1111.8439386837322
2017-10-31,270.54,1059.710143427828
2017-11-30,279.6,941.1546000229349
2017-12-31,291.71,900.3585386844354
2018-01-31,316.34,877.2257638283603
2018-02-28,345.03,804.5215389717608
2018-03-31,461.0,980.4986391031824
2018-04-30,536.13,1021.4736779754087
2018-05-31,586.31,1098.4458953539436
2018-06-30,519.99,1108.850873789624
2018-07-31,641.74,1241.2101170675912
2018-08-31,572.24,1233.4281840438452
2018-09-30,340.43,1118.560531732314
2018-10-31,337.79,1088.9826952872193
2018-11-30,276.14,975.4648708549229
2018-12-31,242.41,922.6395656914162
2019-01-31,332.64,884.0489545472976
2019-02-28,290.72,825.556569689245
2019-03-31,442.08,963.1029801829814
2019-04-30,548.64,977.2711529553244
2019-05-31,656.93,1103.9294141001717
2019-06-30,476.74,1099.2372355413167
2019-07-31,418.06,1177.424906014684
2019-08-31,536.81,1239.7811356541233
2019-09-30,437.23,1143.6156337266593
2019-10-31,303.27,1098.277957472941
2019-11-30,291.88,962.0531852439447
2019-12-31,220.57,932.0404939231596
2020-01-31,258.81,915.4473469104138
2020-02-29,363.49,867.874766268818
2020-03-31,437.5,970.0087531448876
2020-04-30,540.86,965.9575840494167
2020-05-31,550.15,1099.2581423101794
2020-06-30,501.88,1119.9434913453692
2020-07-31,347.92,1174.7178841990685
2020-08-31,663.89,1246.1133183034624
2020-09-30,368.92,1140.083674284709
2020-10-31,284.54,1062.4230985452336
2020-11-30,286.54,970.2897633152867
2020-12-31,255.72,912.6805179064269
2021-01-31,284.1,886.4287584062594
2021-02-28,397.07,838.0843322076463
2021-03-31,457.75,993.3574880288724
2021-04-30,583.96,993.2947076023792
2021-05-31,502.01,1100.0418306876077
2021-06-30,534.42,1111.102053554841
2021-07-31,524.14,1198.3852546014452
2021-08-31,520.35,1225.4289136806563
2021-09-30,365.82,1104.8885628104276
2021-10-31,342.0,1073.1053300288977
2021-11-30,322.53,962.0419925816403
2021-12-31,278.96999999999997,916.664406556536
2022-01-31,314.66,877.7697721583372
2022-02-28,372.4,801.9945049255459
2022-03-31,464.26,966.0086355902573
2022-04-30,487.58,1003.4486164277644
2022-05-31,534.35,1086.1059834494347
2022-06-30,554.53,1114.5218575032047
2022-07-31,561.86,1227.441215782178
2022-08-31,519.92,1226.1764068442071
2022-09-30,403.98,1136.7277835651512
2022-10-31,322.46,1058.1589592563732
2022-11-30,276.89,976.9859813759962
2022-12-31,258.74,909.4060024527811
2023-01-31,303.32,891.26075640698
2023-02-28,362.2,827.2240995240895
2023-03-31,425.71,998.5299476517829
2023-04-30,549.46,1013.5729876469484
